,latitude,longitude,brightness,scan,track,date,confidence,bright_t31,frp,daynight,type,datetime,temperature,humidity,rain,stat_lat,stat_long,time_difference,new_latitude,new_longitude,new_time_difference,new_date,final_date
3849,15.871517,100.548981,367,0.53,0.67,1513641600,0,301.21,7.78,0,0,19/12/2017 5:42,22.0,47.0,0.0,15.8707888,100.5973312,20520,15.819713,100.57688,21448.936,1513663048.936,2017-12-19 05:57:28.936000000
3850,17.116829,98.493484,367,0.64,0.72,1555545600,0,295.21,47.59,0,0,18/4/2019 7:30,29.8,57.4,0.0,16.9898688,98.5182784,27000,17.19926,98.39643,24559.041,1555570159.041,2019-04-18 06:49:19.040999936
3851,16.231745,102.199051,367,0.41,0.61,1519171200,0,291.78,8.17,0,0,21/2/2018 5:42,25.0,84.0,0.15483871,16.1166976,102.231904,20520,16.150513,102.25124,21072.281,1519192272.281,2018-02-21 05:51:12.280999936
3852,17.495529,98.492638,367,0.32,0.55,1330300800,0,315.65,94.04,0,0,27/2/2012 7:12,34.8,27.0,0.0,17.7979744,98.34144,25920,17.693699,98.494736,25955.535,1330326755.535,2012-02-27 07:12:35.535000064
3853,18.182346,103.9617,367,0.4,0.37,1361923200,0,308.83,16.01,0,0,27/2/2013 6:06,28.0927112,74.8910155,0.15483871,18.2947936,103.9948352,21960,18.218739,103.935486,22205.207,1361945405.207,2013-02-27 06:10:05.207000064
3854,17.931831,102.821007,367,0.38,0.59,1576886400,0,295.07,6.9,0,0,21/12/2019 7:00,28.0927112,74.8910155,0.0,17.8770448,102.727104,25200,17.890583,102.79467,25207.0,1576911607.0,2019-12-21 07:00:07.000000000
3855,14.738471,103.586937,367,0.35,0.57,1549584000,0,302.48,19.76,0,0,8/2/2019 5:42,29.1,70.4,0.15483871,14.8508112,103.4976896,20520,14.896465,103.59655,20723.496,1549604723.496,2019-02-08 05:45:23.496000000
3856,14.141626,99.136337,367,0.32,0.55,1551484800,0,306.97,6.87,0,0,2/3/2019 7:12,28.0927112,74.8910155,0.15483871,14.1126544,99.1463616,25920,14.091652,99.1353,25888.418,1551510688.418,2019-03-02 07:11:28.417999872
3857,18.065361,98.381454,367,0.32,0.55,1395273600,0,320.72,10.88,0,0,20/3/2014 7:18,28.0927112,74.8910155,0.0,18.1620544,98.6085504,26280,18.113813,98.44771,26147.137,1395299747.137,2014-03-20 07:15:47.137000192
3858,19.752453,99.615944,367,0.32,0.55,1331251200,0,299.52,5.84,0,0,9/3/2012 7:06,22.5,50.0,0.15483871,19.7472064,99.6835072,25560,19.863935,99.57208,25279.465,1331276479.465,2012-03-09 07:01:19.464999936
3859,16.637623,98.916199,367,0.39,0.36,1330473600,0,335.69,54.25,0,0,29/2/2012 6:30,24.01,42.17,0.15483871,16.7865488,99.183968,23400,16.67381,99.066765,24247.402,1330497847.402,2012-02-29 06:44:07.401999872
3860,15.980745,102.01519,367,0.42,0.45,1552262400,0,359.7,218.2,0,0,11/3/2019 6:00,26.7,52.9,0.15483871,15.8731376,102.0161856,21600,15.97039,102.05817,24217.584,1552286617.584,2019-03-11 06:43:37.584000000
3861,17.50646,99.168106,367,0.35,0.57,1395273600,0,311.25,5.67,0,0,20/3/2014 7:12,28.4,47.0,0.0,17.4553184,99.1186432,25920,17.48065,98.95795,26009.564,1395299609.564,2014-03-20 07:13:29.564000000
3862,20.052107,99.704239,367,0.33,0.55,1364428800,0,304.63,7.01,0,0,28/3/2013 7:06,24.0,73.0,0.15483871,20.1392624,99.857984,25560,20.062733,99.753296,25524.709,1364454324.709,2013-03-28 07:05:24.709000192
3863,15.65897,104.037941,367,0.4,0.6,1361145600,0,306.85,11.05,0,0,18/2/2013 5:36,28.0927112,74.8910155,0.15483871,15.732544,104.1317952,20160,15.672789,104.07422,20488.223,1361166088.223,2013-02-18 05:41:28.223000064
